artist,title,ultimate_guitar_url
4 Non Blondes,Whats Up,https://tabs.ultimate-guitar.com/tab/4-non-blondes/whats-up-chords-349210
A Great Big World,Say Something,https://tabs.ultimate-guitar.com/tab/a-great-big-world/say-something-chords-1443639
A Great Big World,Shorty Dont Wait,https://tabs.ultimate-guitar.com/tab/a-great-big-world/shorty-dont-wait-chords-1458451
ABBA,Dancing Queen,https://tabs.ultimate-guitar.com/tab/abba/dancing-queen-official-1979611
ABBA,Does Your Mother Know,https://tabs.ultimate-guitar.com/tab/abba/does-your-mother-know-chords-1142471
ABBA,Gimme Gimme Gimme,https://tabs.ultimate-guitar.com/tab/abba/gimme-gimme-gimme-chords-1470919
ABBA,Honey Honey,https://tabs.ultimate-guitar.com/tab/abba/honey-honey-chords-52948
ABBA,Knowing Me Knowing You,https://tabs.ultimate-guitar.com/tab/abba/knowing-me-knowing-you-chords-1090536
ABBA,Mamma Mia,https://tabs.ultimate-guitar.com/tab/abba/mamma-mia-chords-709013
ABBA,Slipping Through My Fingers,https://tabs.ultimate-guitar.com/tab/abba/slipping-through-my-fingers-chords-879696
ABBA,Super Trouper,https://tabs.ultimate-guitar.com/tab/abba/super-trouper-chords-116282
ABBA,Take A Chance On Me,https://tabs.ultimate-guitar.com/tab/abba/take-a-chance-on-me-chords-1053599
ABBA,The Winner Takes It All,https://tabs.ultimate-guitar.com/tab/abba/the-winner-takes-it-all-chords-18447
AJR,Dear Winter,https://tabs.ultimate-guitar.com/tab/ajr/dear-winter-chords-2654874
Ace of Base,The Sign,https://tabs.ultimate-guitar.com/tab/ace-of-base/the-sign-chords-137750
Adele,Easy On Me,https://tabs.ultimate-guitar.com/tab/adele/easy-on-me-chords-3911342
Adele,Make You Feel My Love,https://tabs.ultimate-guitar.com/tab/adele/make-you-feel-my-love-official-2140691
Adele,Set Fire To The Rain,https://tabs.ultimate-guitar.com/tab/adele/set-fire-to-the-rain-chords-1036340
Adele,Someone Like You,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1006751
Adele,When We Were Young,https://tabs.ultimate-guitar.com/tab/adele/when-we-were-young-chords-1782038
Alan Jackson,Drive For Daddy Gene,https://tabs.ultimate-guitar.com/tab/alan-jackson/drive-for-daddy-gene-chords-921418
Alan Jackson,Remember When,https://tabs.ultimate-guitar.com/tab/alan-jackson/remember-when-chords-377957
Alan Jackson,The Old Rugged Cross,https://tabs.ultimate-guitar.com/tab/alan-jackson/the-old-rugged-cross-chords-1741853
Alan Menken,Friend Like Me,https://tabs.ultimate-guitar.com/tab/alan-menken/friend-like-me-ukulele-1347538
Albert E. Brumley,Ill Fly Away,https://tabs.ultimate-guitar.com/tab/albert-e-brumley/ill-fly-away-chords-815083
Alessia Cara,How Far Ill Go,https://tabs.ultimate-guitar.com/tab/alessia-cara/how-far-ill-go-chords-1905507
Alice DeeJay,Better Off Alone,https://tabs.ultimate-guitar.com/tab/alice-deejay/better-off-alone-chords-1685377
Alison Krauss,Down To The River To Pray,https://tabs.ultimate-guitar.com/tab/alison-krauss/down-to-the-river-to-pray-chords-2889116
Anne-Marie,Depressed,https://tabs.ultimate-guitar.com/tab/anne-marie/depressed-chords-5955011
Aqua,Barbie Girl,https://tabs.ultimate-guitar.com/tab/aqua/barbie-girl-chords-1682339
Avicii,Wake Me Up,https://tabs.ultimate-guitar.com/tab/avicii/wake-me-up-chords-1397339
Avril Lavigne,Sk8Er Boi,https://tabs.ultimate-guitar.com/tab/avril-lavigne/sk8er-boi-chords-752868
Backstreet Boys,I Want It That Way,https://tabs.ultimate-guitar.com/tab/backstreet-boys/i-want-it-that-way-chords-827123
Barenaked Ladies,One Week,https://tabs.ultimate-guitar.com/tab/barenaked-ladies/one-week-chords-1149813
Bastille,Pompeii,https://tabs.ultimate-guitar.com/tab/bastille/pompeii-chords-1227805
Bee Gees,How Deep Is Your Love,https://tabs.ultimate-guitar.com/tab/bee-gees/how-deep-is-your-love-chords-1191900
Bee Gees,Islands In The Stream,https://tabs.ultimate-guitar.com/tab/bee-gees/islands-in-the-stream-chords-1165716
Bee Gees,To Love Somebody,https://tabs.ultimate-guitar.com/tab/bee-gees/to-love-somebody-chords-2437013
Ben E. King,Stand By Me,https://tabs.ultimate-guitar.com/tab/ben-e-king/stand-by-me-chords-73005
Ben Folds,The Luckiest,https://tabs.ultimate-guitar.com/tab/ben-folds/the-luckiest-chords-671981
Ben Folds Five,Brick,https://tabs.ultimate-guitar.com/tab/ben-folds-five/brick-chords-336333
Ben Folds Five,Luckiest,https://tabs.ultimate-guitar.com/tab/ben-folds-five/luckiest-chords-271306
Ben Platt,Grow As We Go,https://tabs.ultimate-guitar.com/tab/ben-platt/grow-as-we-go-chords-2619378
Beyoncé,Halo,https://tabs.ultimate-guitar.com/tab/2141159
Beyoncé,Love On Top,https://tabs.ultimate-guitar.com/tab/3713894
Big Wild,6S To 9S,https://tabs.ultimate-guitar.com/tab/big-wild/6s-to-9s-chords-2950643
Bill Withers,Aint No Sunshine,https://tabs.ultimate-guitar.com/tab/bill-withers/aint-no-sunshine-chords-468744
Bill Withers,Lean On Me,https://tabs.ultimate-guitar.com/tab/bill-withers/lean-on-me-chords-150987
Billie Eilish,Bad Guy,https://tabs.ultimate-guitar.com/tab/billie-eilish/bad-guy-official-2650386
Billy Joel,Piano Man,https://tabs.ultimate-guitar.com/tab/billy-joel/piano-man-chords-1051336
Billy Joel,Shes Always A Woman,https://tabs.ultimate-guitar.com/tab/billy-joel/shes-always-a-woman-chords-583675
Billy Joel,The Longest Time,https://tabs.ultimate-guitar.com/tab/billy-joel/the-longest-time-chords-758243
Billy Joel,The River Of Dreams,https://tabs.ultimate-guitar.com/tab/billy-joel/the-river-of-dreams-chords-1054203
Billy Joel,Vienna,https://tabs.ultimate-guitar.com/tab/billy-joel/vienna-official-2485866
Birdtalker,Heavy,https://tabs.ultimate-guitar.com/tab/birdtalker/heavy-chords-1867136
Birdtalker,Old Sob Story,https://tabs.ultimate-guitar.com/tab/birdtalker/old-sob-story-chords-4305287
Blind Melon,No Rain,https://tabs.ultimate-guitar.com/tab/blind-melon/no-rain-chords-57624
Blink-182,Adams Song,https://tabs.ultimate-guitar.com/tab/blink-182/adams-song-chords-755261
Blink-182,All The Small Things,https://tabs.ultimate-guitar.com/user/tab/view?h=pEPg4GoQtU1VbSjK7RH4frLL&tab_id=23831124
Blink-182,Feeling This,https://tabs.ultimate-guitar.com/tab/blink-182/feeling-this-chords-1136716
Blink-182,First Date,https://tabs.ultimate-guitar.com/tab/blink-182/first-date-chords-972766
Blondie,The Tide Is High,https://tabs.ultimate-guitar.com/tab/blondie/the-tide-is-high-chords-62181
Bloodhound Gang,The Bad Touch,https://tabs.ultimate-guitar.com/tab/bloodhound-gang/the-bad-touch-chords-706086
Blue Swede,Hooked On A Feeling,https://tabs.ultimate-guitar.com/tab/blue-swede/hooked-on-a-feeling-chords-753575
Bo Burnham,All Eyes On Me,https://tabs.ultimate-guitar.com/user/tab/view?h=dfI5M4J9v658-k4fHyCY6zuo&tab_id=23457099
Bo Burnham,Art Is Dead,https://tabs.ultimate-guitar.com/tab/bo-burnham/art-is-dead-chords-2447521
Bo Burnham,Kill Yourself,https://tabs.ultimate-guitar.com/tab/bo-burnham/kill-yourself-chords-1766519
Bo Burnham,Welcome To The Internet,https://tabs.ultimate-guitar.com/tab/bo-burnham/welcome-to-the-internet-chords-3732602
Bob Dylan,Dont Think Twice Its All Right,https://tabs.ultimate-guitar.com/tab/bob-dylan/dont-think-twice-its-all-right-chords-178850
Bob Dylan,It Aint Me Babe,https://tabs.ultimate-guitar.com/tab/bob-dylan/it-aint-me-babe-chords-14882
Bob Seger,Old Time Rock And Roll,https://tabs.ultimate-guitar.com/tab/bob-seger/old-time-rock-and-roll-chords-331847
Bonnie Raitt,I Cant Make You Love Me,https://tabs.ultimate-guitar.com/tab/bonnie-raitt/i-cant-make-you-love-me-chords-611294
Bonnie Raitt,Something To Talk About,https://tabs.ultimate-guitar.com/tab/bonnie-raitt/something-to-talk-about-chords-1718556
Bonnie Tyler,Total Eclipse Of The Heart,https://tabs.ultimate-guitar.com/tab/bonnie-tyler/total-eclipse-of-the-heart-chords-960748
Bowling for Soup,1985,https://tabs.ultimate-guitar.com/tab/bowling-for-soup/1985-chords-827445
Brad Paisley,This Is Country Music,https://tabs.ultimate-guitar.com/tab/brad-paisley/this-is-country-music-chords-1011353
Brad Paisley,Ticks,https://tabs.ultimate-guitar.com/tab/brad-paisley/ticks-chords-511546
Brad Paisley,Water,https://tabs.ultimate-guitar.com/tab/brad-paisley/water-chords-854157
Brad Paisley,Whiskey Lullaby,https://tabs.ultimate-guitar.com/tab/brad-paisley/whiskey-lullaby-chords-395700
